sample	PAOx	PAOxGlc
PAOx-Std_10	10875836770.779253	0
PAOx-Std_20	21048487418.436565	0
PAOx-Std_40	49205652590.78315	0
PAOx-Std_80	80392147201.54483	0
PAOx-Std_160	156706647490.31226	0
PAOxGlc_Std_30	734571573.250474	30728898085.124657
PAOxGlc_Std_60	1100445557.620794	63304229958.540321
PAOxGlc_Std_120	1877515998.750041	156788877670.29218
PAOxGlc_Std_240	2813432293.586319	509580226841.27551
PAOxGlc_Std_500	7816678484.721803	542415049409.55255
PAOxProps3_Cells_ctrl_1_d0	1139311.777622	0
PAOxProps3_Cells_ctrl_2_d0	302853.257851	0
PAOxProps3_Cells_ctrl_3_d0	1056089.949687	0
PAOxProps3_Cells_ctrl_4_d0	189023.769964	0
PAOxProps3_Cells_Ald_1_d0	592449620.815426	32242923.243298
PAOxProps3_Cells_Ald_2_d0	545283717.613105	30827090.207269
PAOxProps3_Cells_Ald_1_d1	126177325.490841	564300850.863366
PAOxProps3_Cells_Ald_2_d1	121629382.614765	626917325.047567
PAOxProps3_Cells_ctrl_3_d1	132962.548133	0
PAOxProps3_Cells_ctrl_4_d1	417507.333505	0
PAOxProps3_Cells_Ald_1_d2	4091943.018342	484164853.381954
PAOxProps3_Cells_Ald_2_d2	2886907.228741	391106394.07083
PAOxProps3_Cells_ctrl_3_d2	198305.557525	0
PAOxProps3_Cells_ctrl_4_d2	205591.362851	0
PAOxProps3_Cells_Ald_1_d3	3149344.596045	219421180.137664
PAOxProps3_Cells_Ald_2_d3	592516.437462	205437590.316793
PAOxProps3_Cells_ctrl_3_d3	0	2148082.575478
PAOxProps3_Cells_ctrl_4_d3	156371.510752	2341558.262244
