sample	PAOx	PAOxGlc
PAOx-Std_10	1087583677.077925	0
PAOx-Std_20	2104848741.843657	0
PAOx-Std_40	4920565259.078315	0
PAOx-Std_80	8039214720.154484	0
PAOx-Std_160	15670664749.031223	0
PAOxGlc_Std_30	73457157.325047	3072889808.512466
PAOxGlc_Std_60	110044555.762079	6330422995.854033
PAOxGlc_Std_120	187751599.875004	15678887767.029217
PAOxGlc_Std_240	281343229.358632	50958022684.127556
PAOxGlc_Std_500	781667848.47218	54241504940.955261
PAOxProps3_Cells_ctrl_1_d0	113931.177762	0
PAOxProps3_Cells_ctrl_2_d0	30285.325785	0
PAOxProps3_Cells_ctrl_3_d0	105608.994969	0
PAOxProps3_Cells_ctrl_4_d0	18902.376996	0
PAOxProps3_Cells_Ald_1_d0	59244962.081543	3224292.32433
PAOxProps3_Cells_Ald_2_d0	54528371.76131	3082709.020727
PAOxProps3_Cells_Ald_1_d1	12617732.549084	56430085.086337
PAOxProps3_Cells_Ald_2_d1	12162938.261477	62691732.504757
PAOxProps3_Cells_ctrl_3_d1	13296.254813	0
PAOxProps3_Cells_ctrl_4_d1	41750.733351	0
PAOxProps3_Cells_Ald_1_d2	409194.301834	48416485.338195
PAOxProps3_Cells_Ald_2_d2	288690.722874	39110639.407083
PAOxProps3_Cells_ctrl_3_d2	19830.555752	0
PAOxProps3_Cells_ctrl_4_d2	20559.136285	0
PAOxProps3_Cells_Ald_1_d3	314934.459605	21942118.013766
PAOxProps3_Cells_Ald_2_d3	59251.643746	20543759.031679
PAOxProps3_Cells_ctrl_3_d3	0	214808.257548
PAOxProps3_Cells_ctrl_4_d3	15637.151075	234155.826224
